last,first,mlbid,ab_id,pitch_id,start_speed,x0,z0,px,pz,pfx_x,pfx_z,stand,inning,height,spinrateND,spindirND,vxf,vzf,xangle,zangle,pitch_type
Wagner,Neil,474599,8230325,18028549,85.5213,-1.00553,6.19745,-0.741304,1.73171,-5.383,4.76,L,8,72,707.149,237.324,-1.29718,-15.4954,0.649485,7.71181,CH
StauFAer,Tim,431162,8223362,18002277,80.169,-1.6205,6.47112,-0.0549697,2.55887,-5.961,5.493,L,7,73,843.796,231.522,1.32368,-14.0427,-0.701117,7.39703,CH
Bush,Dave,433657,6666177,13608831,80.8198,-2.66809,5.35672,-0.352944,-0.349979,-8.616,5.105,L,7,74,1161.68,247.509,2.03253,-17.9544,-1.08333,9.48315,CH
Clippard,Tyler,461325,8002935,17239426,81.0023,-1.54386,6.6077,-1.32679,2.93133,-5.888,10.562,L,9,75,1864.32,211.703,-1.49852,-11.8505,0.790645,6.22828,CH
Rodriguez,Francisco,408061,8054923,17437906,83.988,-1.54005,6.2387,0.455286,1.85798,-4.875,4.311,L,7,72,755.505,234.549,2.70869,-15.4445,-1.37155,7.77379,CH
Lincecum,Tim,453311,7943578,17008789,81.9832,-1.08156,6.31104,-0.420243,2.58575,-1.229,3.998,L,8,71,285.217,199.19,1.01147,-14.1167,-0.519657,7.21449,CH
Wall,Josh,476205,8103352,17624706,85.2081,-2.53994,5.94659,-1.70382,2.78066,-6.754,6.993,L,9,78,1281.95,227.92,-0.48381,-11.8425,0.246888,6.02099,CH
Reynolds,Greg,453353,7845441,16711597,83.224,-1.82823,6.57004,-0.280951,1.29362,-5.67,4.477,L,5,79,860.365,239.972,1.43294,-17.3365,-0.731016,8.77544,CH
Villanueva,Carlos,453646,7041508,14679159,82.4782,-1.71978,6.74916,-0.771852,2.44864,-6.28,11.18,L,1,74,2022.57,211.233,-0.081852,-12.927,0.0422697,6.64578,CH
Sanabia,Alejandro,502253,8211850,17957647,84.4661,-2.78278,6.1032,-0.144073,2.50927,-10.639,4.778,L,3,74,1672.28,249.594,2.13983,-13.5507,-1.08571,6.84347,CH
Shields,James,448306,8278070,18211285,85.7434,-1.42687,5.66962,-0.613495,0.557112,-10.02,1.61,L,7,76,1567.62,269.654,-1.69517,-18.0518,0.848224,8.95962,CH
Lyles,Jordan,543475,7977442,17142261,80.9115,-2.25144,6.33282,-1.24563,3.2087,-2.363,6.44,L,2,76,803.89,200.664,1.34585,-12.0539,-0.710919,6.34151,CH
Moseley,Dustin,400291,6779275,13930244,83.1063,-1.50676,5.97094,-0.531411,1.36151,-8.8,5.49,L,2,76,1187.57,245.249,-0.865114,-15.5339,0.450635,8.03857,CH
Harvey,Matthew,518774,8175040,17814812,87.5392,-1.39216,6.37355,-0.266057,1.24238,-9.49,5.29,L,7,76,1433.57,248.689,-0.815535,-16.8479,0.403147,8.2707,CH
Santana,Ervin,429722,7973909,17128757,87.7097,-1.87354,6.1834,-1.69748,2.21307,-6.46,4,L,2,74,812.628,247.983,-1.89927,-14.6667,0.941144,7.22982,CH
Adcock,Nathan,502264,7944169,17011121,85.0677,-2.83194,6.33977,-0.20766,2.0821,-8.405,1.483,R,7,77,917.671,269.083,2.8995,-16.1639,-1.46794,8.13011,CH
Parker,Jarrod,519105,8107078,17638942,77.9511,-1.18279,6.09835,-0.313129,1.14495,-7,6.784,L,7,73,966.974,232.681,-0.45866,-15.807,0.253913,8.68367,CH
Sanchez,Anibal,434671,7923636,16932271,82.8291,-0.513309,5.89249,-1.11971,3.31982,-8.004,2.032,L,1,72,998.433,262.408,-3.99229,-12.3132,2.09617,6.44073,CH
Zimmermann,Jordan,519455,8347794,18478862,87.7282,-1.58831,5.86799,0.626426,2.42721,-11.786,5.851,L,7,74,2400.11,246.97,0.843454,-12.7928,-0.414512,6.26203,CH
Stinson,Josh,502139,8306719,18321130,88.242,-2.395,6.29221,-1.1994,2.15725,-8.51,2.3,L,7,76,1100.09,263.527,-0.312754,-15.6608,0.153153,7.62367,CH
Beckett,Josh,277417,8016781,17292168,87.1809,-2.52123,5.35983,-2.36874,3.81181,-7.029,3.348,L,1,77,965.815,247.928,-2.1578,-9.38233,1.06477,4.62022,CH
Sheets,Ben,282656,8034976,17362139,85.0562,-2.36175,6.03865,1.42195,1.95428,-4.634,7.422,R,6,73,964.487,209.94,6.81815,-13.7011,-3.39488,6.79794,CH
Kluber,Corey,446372,8046862,17407275,85.1343,-2.02511,6.00175,-1.21016,3.15562,-4.797,3.716,L,6,76,614.163,237.278,0.136099,-12.233,-0.0677426,6.06612,CH
Lowe,Mark,450275,7606619,16095057,88.38,-1.70838,6.16263,-0.0341585,2.45368,-7.28,7.9,L,6,75,1670.66,225.072,1.22991,-12.6511,-0.595405,6.10149,CH
Lynn,Lance,458681,8255741,18125489,85.4422,-2.10476,5.49022,-1.77844,0.847178,-5.08,4.398,L,4,77,616.609,240.104,-1.04292,-16.0144,0.526963,8.03878,CH
Lindblom,Josh,458676,8217058,17977563,84.963,-2.93965,6.30978,-1.09046,2.97352,-8.56,6.931,L,3,77,1637.77,233.801,1.12664,-12.2298,-0.57049,6.16897,CH
Lopez,Rodrigo,150438,7322175,15400542,84.8006,-2.11011,5.79974,-0.437755,1.74443,-7.46,4.41,L,1,73,979.419,245.72,1.11334,-14.6983,-0.563517,7.39841,CH
Ortiz,Ramon,150009,7545032,15943648,84.6383,-2.41011,5.4866,-0.807335,2.60633,-5.86,6.09,L,7,72,971.641,226.111,1.5139,-11.5193,-0.769078,5.83207,CH
Ramirez,Ramon,430673,8104096,17627662,87.6418,-0.588579,5.74731,-0.674579,2.96395,-8.852,5.045,L,8,71,1466.71,245.417,-3.34893,-11.5887,1.6565,5.71475,CH
Hernandez,Roberto,433584,8220628,17991432,85.8944,-1.27908,5.76978,-0.110407,2.14827,-6.864,1.711,R,3,76,741.197,265.075,0.209956,-14.6776,-0.105118,7.30869,CH
Jimenez,Ubaldo,434622,6934176,14380260,85.058,-1.14718,6.81243,-0.449535,1.86903,-1.12,1.09,L,5,76,93.684,284.142,1.16474,-17.8477,-0.581359,8.8379,CH
Martinez,Cristhian,450852,8172740,17805964,82.3514,-1.33785,5.23429,-0.849988,3.06665,-11.42,2.13,L,7,73,1905.7,262.931,-2.78679,-11.4148,1.46025,5.96092,CH
Reed,Addison,592665,8005486,17249263,84.2218,-2.9242,5.12459,-1.73399,1.08685,-4.43,4.39,L,9,76,535.74,233.605,1.09016,-14.6694,-0.561758,7.51595,CH
Hochevar,Luke,460024,8089516,17570951,83.2838,-1.83428,6.49655,-0.00696415,2.1168,-8.015,6.455,L,7,77,1263.09,235.69,1.2417,-14.7039,-0.639085,7.52462,CH
Weiland,Kyle,475095,7919862,16917929,82.6514,-1.52106,5.62753,0.325165,2.69826,-2.856,4.815,L,7,76,463.001,210.554,3.03712,-12.1051,-1.55541,6.17691,CH
Scherzer,Max,453286,7267701,15265964,83,-3.5906,5.70133,-1.3581,2.64109,-7.51,-1.2,L,1,75,935.299,286.214,2.29398,-14.4438,-1.17252,7.34322,CH
Phelps,David,475479,7936036,16980015,83.4615,-2.84922,5.90299,-0.783131,1.41506,-7.488,6.921,L,4,75,1192.97,231.079,1.94518,-14.7791,-0.997303,7.53433,CH
Beachy,Brandon,545404,7995154,17209826,78.1568,-1.56822,6.06443,-1.15327,2.63064,-7.511,6.558,R,4,75,1286.85,233.403,-1.55942,-12.7683,0.854376,6.96157,CH
Westbrook,Jake,150414,8276062,18203598,80.7612,-1.39266,6.1297,-1.8816,2.78307,-5.834,-2.647,L,4,75,849.493,301.689,-2.95792,-15.5424,1.57496,8.22083,CH
Aceves,Alfredo,469686,7950994,17036896,79.9449,-1.40953,5.5157,-0.251395,3.04258,-6.037,7.296,L,10,75,984.595,221.462,0.447269,-10.4989,-0.243224,5.69051,CH
Halladay,Roy,136880,7857266,16756475,82.9821,-2.01815,6.44571,-0.772985,2.25769,-10.873,1.68,R,7,78,1558.55,267.499,-1.00226,-15.9138,0.515706,8.1335,CH
Scherzer,Max,453286,8228295,18020924,84.2328,-3.58802,5.70419,-0.0796182,2.53746,-7.926,5.488,L,7,75,1099.34,236.789,4.98063,-12.3701,-2.53415,6.27284,CH
